Fecha	Casos 	Hospitalizados	UCI	Fallecidos	Recuperados
20/02/20	2	0	0	0	0
21/02/20	2	0	0	0	0
22/02/20	2	0	0	0	0
23/02/20	2	0	0	0	0
24/02/20	3	0	0	0	0
25/02/20	10	0	0	0	0
26/02/20	16	0	0	0	0
27/02/20	29	0	0	0	0
28/02/20	43	0	0	0	0
29/02/20	65	0	0	0	0
01/03/20	113	0	0	0	0
02/03/20	148	0	0	0	0
03/03/20	194	0	0	0	0
04/03/20	238	0	0	0	0
05/03/20	364	0	0	0	0
06/03/20	386	0	0	0	0
07/03/20	526	0	0	0	0
08/03/20	1006	0	74	28	23
09/03/20	1606	0	101	36	135
10/03/20	2117	236	142	48	182
11/03/20	2929	399	188	84	189
12/03/20	4130	1858	270	120	181
13/03/20	5844	2120	296	134	512
14/03/20	7698	3096	383	285	517
15/03/20	9149	3435	416	306	530
16/03/20	11178	5136	563	491	1028
17/03/20	13716	5759	774	598	1081
18/03/20	17147	7619	939	767	1107
19/03/20	19980	10418	1125	982	1545
20/03/20	24926	13282	1612	1326	2089
21/03/20	28572	15554	1785	1720	2575
22/03/20	33089	18374	2355	2182	3382
23/03/20	39673	22762	2636	2696	3794
24/03/20	47610	26960	3166	3434	5367
25/03/20	56188	31912	3679	4089	7015
26/03/20	64059	36293	4165	4858	9357
27/03/20	72248	40630	4575	5745	12285
28/03/20	78797	43397	4907	6539	14708
29/03/20	85195	46617	5231	7340	16780
30/03/20	94417	49243	5607	8189	19259
31/03/20	102136	51418	5872	9053	22647
01/04/20	110238	54113	6092	10003	26743
02/04/20	117710	56637	6416	10935	30513
