Fecha	Casos 	Hospitalizados	UCI	Fallecidos	Recuperados
20/02/2020	2	0	0	0	0
21/02/2020	0	0	0	0	0
22/02/2020	0	0	0	0	0
23/02/2020	0	0	0	0	0
24/02/2020	1	0	0	0	0
25/02/2020	7	0	0	0	0
26/02/2020	6	0	0	0	0
27/02/2020	13	0	0	0	0
28/02/2020	14	0	0	0	0
29/02/2020	22	0	0	0	0
01/03/2020	48	0	0	0	0
02/03/2020	35	0	0	0	0
03/03/2020	46	0	0	0	0
04/03/2020	44	0	0	0	0
05/03/2020	126	0	0	0	0
06/03/2020	22	0	0	0	0
07/03/2020	140	0	0	0	0
08/03/2020	480	0	74	28	23
09/03/2020	600	0	27	8	112
10/03/2020	511	236	41	12	47
11/03/2020	812	163	46	36	7
12/03/2020	1201	1459	82	36	-8
13/03/2020	1714	262	26	14	331
14/03/2020	1854	976	87	151	5
15/03/2020	1451	339	33	21	13
16/03/2020	2029	1701	147	185	498
17/03/2020	2538	623	211	107	53
18/03/2020	3431	1860	165	169	26
19/03/2020	2833	2799	186	215	438
20/03/2020	4946	2864	487	344	544
21/03/2020	3646	2272	173	394	486
22/03/2020	4517	2820	570	462	807
23/03/2020	6584	4388	281	514	412
24/03/2020	7937	4198	530	738	1573
25/03/2020	8578	4952	513	655	1648
26/03/2020	7871	4381	486	769	2342
27/03/2020	8189	4337	410	887	2928
28/03/2020	6549	2767	332	794	2423
29/03/2020	6398	3220	324	801	2072
30/03/2020	9222	2626	376	849	2479
31/03/2020	7719	2175	265	864	3388
01/04/2020	8102	2695	220	950	4096
02/04/2020	7472	2524	324	932	3770
